id,coname,loc_search,reason,year
2003237,Firefighter Carl John Bedigian,none the northwest corner of,,2003
2003240,Firefighter Michael Ragusa,Royce Street between Avenue V and,,2003
2003243,Christina Donovan-Flannery,none the intersection of,,2003
2003245,Firefighter Thomas McCann,44th Street between 48th Avenue,,2003
2003248,Vito J. De Leo Avenue,Cotter Avenue between Clarke Avenue and Diane Court,,2003
2003249,Lisa Spina Trerotola,Brookfield Avenue between Genesse,,2003
2003250,Firefighter Jay Ogren Avenue,South Goff Avenue between Kenneth Place and Everett Place,,2003
2003251,Margaret A. Alario Avenue,Meisner Avenue between Rockland Avenue and Lowell Street,,2003
2003256,Firefighter Patrick Byrne,none the intersection of,,2003
2003260,Firefighter Stephen G. Siller,none the northeast corner,,2003
2003263,Firefighter Sean S. Hanley,none the southeast corner of,,2003
2003264,Officer Donald A. Foreman,none the southeast corner of,,2003
2003265,Firefighter Kenneth B.,none the southeast corner,,2003
2003266,Firefighter James M. Gray,none the northwest corner of,,2003
2003267,Daniel R. Notaro Way,none the southeast corner of,,2003
2003268,Firefighter James,98th Street between 38th Avenue,,2003
2003269,Firefighter Joseph A.,none the northwest corner of,,2003
2003273,Firefighter Paul Gill Street,35th Street between Broadway and 34th Avenue,,2003
2003274,100th Infantry Division,none the intersection of," Less than twelve months after the Japanese attack on Pearl Harbor, the 100th Infantry Division was activated at Fort Jackson, South Carolina, with an enlisted cadre principally from the 76th Infantry Division and an officer cadre from the Army at large.  From activation through V-E day and beyond, the 100th was commanded by Major General Withers A. Burress, and was thus one of only 11 U.S. Army divisions to be led by the same commanding general throughout the Second World War.The Division went into combat in early November 1944 as part of the U.S. Seventh Army’s VI Corps, with the mission of penetrating the German Winter Line in the High Vosges Mountains on the edge of the oft-disputed province of Alsace.  In the brutal fighting that ensued, the division stubbornly resisted all attempts at envelopment, and despite heavy casualties, the 100th completely disrupted the German offensive.  Ultimately, the 100th Division captured the Citadel of Bitche in March 1945 and passed through the Siegfreid Line into Germany.In all, in 185 days of uninterrupted ground combat, the 100th Infantry Division liberated and captured over 400 cities, towns and villages, defeated major elements of eight German divisions, and took 13, 351 prisoners.  In doing so, it sustained 916 soldiers killed in action, 3,656 wounded and lost 180 men missing in action.  The surviving members of the 100th Infantry have asked for this sign to be placed in honor of an entire division, all heroes.",2003
2003276,Anthony Brizzi Place,40th Street between 10th Avenue and 12th Avenue,"Anthony was born on September 7, 1934, and was a life long resident of the Borough Park section of Brooklyn. Anthony and his brothers went into the family Business, The Brizzi Funeral Home.As a resident of the community, Anthony was very aware of the needs of his community and had demonstrated an unending concern to their resolution. To this end he associated himself with the five parishes that encompassed his community by serving on their religious and civic committees. Anthony and his brother Nick were very involved in the funding of the Council of Neighborhood Organizations, where Anthony served as Vice-President for 15 years.On May 20, 2000, Mr. Anthony “Butch” Brizzi passed away and is greatly missed by all.",2003
2003279,Judge Charles J. Beckinella,President Street between Smith Street,"From 1946 until his passing in 1982, Judge Beckinella maintained his primary residence on President Street.  Judge Beckinella’s impressive carreer of elected and appointed offices spanned decades.  He blazed a trail for future generations of Italian-Americans to rise to prestigious positions in the fields of law and politics.  While his neighbors on President Street knew of and respected Judge Beckinella for his stature, they remember him as a community-minded individual who swept his own sidewalk, was cordial to his neighbors, and was always willing to help out neighbors in need, particularly the poor, with legal and personal problems.Judge Beckinella was first elected to the New York State Assembly in 1937, for the 8th District in Brooklyn.  He was elected as a Judge of the Municiple Court in 1944.  In 1955 he was appointed as a Justice of the Supreme Court, Kings County by Governor Averill Harriman.  In 1968, he was elected to another term as a Supreme Court Justice.    In his career of 51 years, 43 of which were spent in elected office, Judge Beckinella was happy for the opportunity of serving the people and helping to affect the lives of everyone in positive ways.  He retired from the State Supreme Court on December 31, 1979 at 76 years of age. ",2003
2003284,Korean War Veterans,Memorial Drive the extension of 108th,"From 1950 to 1953, millions of brave Americans fought to, “defend a country they never knew and a people they never met.” Tens of thousands of United States veterans died on the battlefield and more than 100,000 were injured in battle. Thousands are still unaccounted for, Prisoners of War or Missing in Action.All those who served sacrificed of themselves to protect a sovereign nation and to preserve freedom and democracy throughout the world. The 50th anniversary of the 1953 Korean Armistic is rapidly approaching. The Korean War has come to be known, by some, as “The Forgotten War”. We must show these veterans, who are entering the twilight of their lives, that we have not forgotten them or the sacrifices that they have made, and that we appreciate the freedom that their efforts have afforded us.Although this is only a small token of appreciation, it is our hope that when ordinary American citizens pass this sign they will remember the sacrifices that have been made for them and that when veterans pass by they will know that people remember and appreciate what they have done.",2003
2003291,Merchant Marine Memorial,none the existing north shore,"The Staten Island chapter of the American Merchant Marine Veterans has an existing memorial site on the esplanade at the former U.S. Coast Guard Base in St. George.  They have requested the Council’s support for the designation of the plaza area between the future lighthouse memorial and the waterfront.  The memorial is dedicated in memory of those who served in the U.S. Merchant Marines during the Second World War and in particular to those who did not survive “The Battle of the Oceans.”  During the Second World War, 6,834 Merchant Marines were killed, 11,000 wounded, 833 ships were sunk, 604 were taken prisoners of war and 61 died in prison camps.",2003
2003294,Lena Azizo Cymbrowitz,none the northwest corner of,"Lena Azizo Cymbrowitz was born in Egypt on January 1, 1957, to Albert and Lilianne Azizo. The family moved to Brooklyn, New York when Lena was five and she lived there throughout her life. She attended local schools, Public School 209 and Lincoln High School before earning her Bachelor of Arts Degree in English Literature from Brooklyn College.Lena committed herself to the civic affairs of her community and served many local organizations. She sat on the board of the Jewish Community Council of Greater Coney Island and the Holocaust Committee. Lena was also the Treasurer of the Shorefront Jewish Community Council, the chairperson of the 60th Precinct Youth Council, a member of the Shepardic Voting League, associated with the Sherpadic Friends of Maimonides Medical Center, active with the New York Association of New Americans (NYANA) and the United Jewish Appeal/Federation in their immigration and resettlement programs. She was also the Director of the Project Machson program for the Metropolitan New York Coordinating Council on Jewish poverty which provided food, furniture and clothing to the poor and the elderly.In November 1998 Lena Azizo Cymbrowitz was elected to the New York State’s 45th Assembly District serving Flatbush, Midwood, Sheepshead Bay, Manhattan Beach, Gerritson Beach and part of Brighton Beach. In doing so she became the first Shepardaic Jew elected to state office. In the Assembly, she served on the Health, Insurance, Agriculture, Social Services and Children and Families committees where she energetically represented the interests of her constituency.On Monday, August 21, 2000, Lena Azizo Cymbrowitz died while still in office. She was survived by her parents, Albert and Lilianne Azizo; her husband, Steven; and two children Jay and Jennifer.",2003
2003313,Manchild Way,Frederick Douglas between 145th Street,"This information is taken from an essay by Clarence Page.  It is located at http://www.pbs.org/newshour/essays/jan-june02/poverty_5-06.html. In 1965, Claude Brown gave poverty another face, a big city face, with his autobiographical novel Manchild in the Promised Land. Vivid, violent, and unsentimental, Brown called it a novel, but it was his story, beginning with him getting shot, and running from the cops. ""I ran. There was a bullet in me trying to take my life, all 13 years of it."" He ran and the readers ran with him. The book has sold more than four million copies. The '60s were a turbulent decade. By 1965, the civil rights bill had been passed. Yet a new calamity of crime and riots was erupting in America's cities. Young black males were becoming a new urban menace in the public eye. Brown painted a new American archetype: An urban Huck Finn with a black face fighting and hustling his way through dark, trash-filled canyons of American dreams. Brown's Harlem was so brutal that his buddies could throw another kid off a roof and run away before the body hit the ground. His journey is marked by cold steel-- guns, knives, needles-- and vehicles that take him, not once, but several times to reform schools. Yet, despite his violent life, Brown's Manchild found redemption. He straightened out, went to college, attended law school, and wrote a best-seller. He dedicated his book to Eleanor Roosevelt, who founded the Wiltwyck School for boys in upstate New York, and to the Wiltwyck School, ""which is still finding Claude Browns,"" he said. If Claude Brown could be redeemed, he was trying to say, so could others. All they needed, it appeared, was someone who cared. Claude Brown's story seemed to both define and defy the culture of poverty argument that Oscar Lewis made popular in the 1960s and 1970s with his studies of poor Latino families. Poverty creates a debilitating culture, Lewis argued, one that the poor cannot lose even if they ceased to be poor. By the 1980s, the culture of poverty image seemed to prevail. Ronald Reagan advanced welfare reform to break the ""cycle of poverty,"" they said, for the ""urban underclass,"" a new label for the long-term poor, particularly black Americans left behind by the civil rights revolution. Even Claude Brown grew dismayed with the worsening condition of the young gangsters and delinquents he came to know in the new hip-hop generation. His generation had it bad, he said, but this new one, in an era of drive-by shootings and crack cocaine, seemed worse off, even more tragically devoid of hope. Claude Brown died in February of a lung condition. He was 64. He never wrote another best- seller, and poverty seems to have a new face in the age of welfare reform: The working poor, trying to make ends meet, trying to raise their kids with wages too low to lift them out of poverty. Others have fallen between the cracks, off the welfare rolls, but not onto anyone's payrolls. The poor, it seems, are becoming invisible again. Yet, as Brown wrote, there are more Claude Browns out there, still trying to reach the promised land. ",2003
2003317,Firefighter Andrew,211th Street between 41st Avenue,,2003
2003318,Battalion Chief Lawrence T.,123rd Street between 9th Avenue,,2003
2003321,Firefighter Kevin Bracken,none the intersection of,,2003
2003323,William “Bill” Bernstein,none the southwest corner,,2003
2003325,Fire Captain Timothy,none the southeast corner of,,2003
2003328,Firefighter Dennis Patrick,74th Street between 10th Avenue,,2003
2003332,"Firefighter Gary Geidel,",none the intersection of,,2003
2003339,Firefighter John K. McAvoy,none the northeast corner of,,2003
2003343,Firefighter Thomas A.,163rd Street between 43rd Avenue,,2003
2003345,Firefighter Thomas W. Kelly,none the southeast corner of,,2003
2003346,"Firefighter Richard J. Kelly,",none the southeast corner of,,2003
2003347,Angela Susan Scheinberg,none the southeast corner of,,2003
2003348,Lillian Caceres Way,none the southeast corner of Dongan Street and Manor Road,,2003
2003350,Firefighter Jeff Palazzo Place,none the intersection of Allison Avenue and 7th Street,,2003
2003355,Firefighter Allan Tarasiewicz,none the northeast corner of,,2003
2003356,Firefighter Anthony,none the intersection of,,2003
2003357,Firefighter Brian Cannizzaro,none the intersection of,,2003
2003358,"Lt. Harvey Harrell Corner,",none the intersection of,,2003
2003359,"Lt. Stephen Harrell Way,",none the intersection of,,2003
2003367,Henry Weichaitis Road,West 20th Road in its entirety,"Henry Weichaitis was born in Maspeth, Queens on September 28, 1919.  He was a veteran of World War II, when he served as a United States Merchant Marine.  After the war, he moved to Broad Channel where he met and married Helen Hutchinson.  He worked as a civil servant in the Department of Sanitation.His love of the Broad Channel community prompted him to immediately become involved with the local Democratic Club, which he would later serve as president.  He also joined and revitalized the Broad Channel Volunteer Fire Department, where he worked his way up the ranks to Chief and was responsible for the acquisition of the first volunteer ambulance on the Island.His dedication to Broad Channel ultimately brought him to the position of President of the Civic Association.  Henry became the first Chairman of Community Board 14 where he faithfully served for over a decade.  He became a key figure and worked tirelessly for the successful negotiations of the sale of land from New York City to local homeowners.  Broad Channel was a true part of Henry Weichaitis and a source of tremendous pride for him.  20th Road was where he lived until his death on May 8, 1982 in the house that he loved.",2003
2003369,Douglas Road,Douglas Road and between West Drive,,2003
2003370,Little Neck Road,38th Drive between Circle Road and the intersection of Douglas Road and Cherry Street (also known as 39th Avenue),,2003
2003373,"Rev. Randolph Barnes, Jr.",none the intersection of 173rd,"Randolph Barnes Jr. was born on March 1, 1927, to Margaret and Reverend Randolph Barnes, Sr., in Abington, Pennsylvania. He attended local schools including the Institute for Religious studies and Blanton Peale Graduate Institute.  Reverend Randolph Barnes, Jr. founded the Mt. Gilead Baptist Church in 1959. Under his leadership Mt. Gilead was originally located in Cannon’s Funeral Home and was incorporated by the state of New York in 1962. In 1972 the church purchased its present location at 1682Moris Avenue in The Bronx.The established mission and aim for Mt. Gilead B.C. was to make God’s Kingdom a reality on earth and to promote the spiritual, economic and educational welfare of individuals. Under the leadership of Pastor Barnes the ministry has achieved and continues to strive to do the following:1.A daycare center was established to aid working families with the care of their children. It included early childhood development as well as a nursery. Over 5000 students have been influenced during their formative years, many going on to college and higher endeavors.2.Through out the years, the Ministry has provided employment to over 200 persons living in the community. Reverend Barnes personally helped people obtain jobs while he served as Assistant Housing Commissioner during the late Mayor John V. Lindsey’s administration from 1966 to 1973. 3.Mt. Gilead B.C. was originally established as a mission, and this work is still going on. Our soup kitchen serves thousands of hot meals to needy men, women and children each year. The ministry also has a food pantry and a clothing give away.4.Under the leadership of Reverend Randolph Barnes, fervent preaching, soul winning and evangelistic outreach continues to go on. This year will be our 4th year of street outreach, taking the life saving message of Jesus Christ to the street in English and Spanish.5.Pastor Barnes ordained a host of Reverends, Ministers and Deacons and did his best to equip the church of the future by training officers to carry out the work of the ministry.Reverend Randolph Barnes, Jr. died on November 6, 2002. He was survived by his wife, Betty Barnes (since deceased); two sons, Randolph III and John; a brother Isaac; five grandchildren and 4 great-grandchildren.",2003
2003375,Bay Ridge United Methodist,none the southeast corner of,"The Bay Ridge United Methodist Church was first chartered on November 20, 1830 and was completed in 1831. The present green stone building was erected in 1900, and since then it has been the site for many organizations that have greatly improved the quality of life in the Bay Ridge community.In the 1970’s, the Bay Ridge United Methodist Church became home to Alcoholics Anonymous, the South Beach Psychiatric Center and the gym has been used by the Lutheran Elementary School. In the 1980’s, the church became a Bread For the World Covenant Church, and a participating church in the Partnership for the Homeless Church Shelter Program.Most recently, the Bay Ridge United Methodist Church has become a member church of “Neighbors for Racial Harmony,” linking the churches in Bay Ridge and Bedford Stuyvesant together. In addition, it has become a member church of the Bay Ridge/Bensonhurst Youth Coalition and a Heart Share Childcare facility, organizations serving the youth of the Bay Ridge community.",2003
2003378,Sharon Mary Pascale Field,Ballfield No. 4 Dyker Park," Sharon Pascale grew up in the community of Dyker Heights, and was a special education teacher at P.S. 225 in Brooklyn.  Sharon Pascale had a sincere dedication to the needs of her students and a willingness to volunteer her time and money to bring sports into their lives.  Sharon was also a member of the New York Sharks, a women’s professional football team.Sharon was a volunteer softball coach at Moore Catholic High School in Staten Island, was a member of the Women’s American Softball Association and the Women’s Flag Football Association.   She was also a member of the Council for Exceptional Children and the New York State Association for Health, Physical Education, Recreation and Dance, Inc.  Sharon Pascale was killed in a car accident on December 24, 2001.",2003
2003380,Mary Davies Drive,Tennyson Drive between Glover Street and Goodall Street,"Mary Davies was born on March 22, 1926, in the borough of Brooklyn, to Thomas and Helen Davies. Mary received her education attending various Brooklyn public schools, until her marriage to John Davies in 1937. Mary and her husband moved to Staten Island after World War II, and settled in the Great Kills area. Mary was a traditional stay at home mother, to daughter Mary and son John, but quickly became involved in the local PTA and community association.Mary Davies led the drive for implementation of the original South Richmond Plan, that called for control of the wetlands and natural areas. When it was defeated in the early 1960’s she helped found the Crescent Beach Civic Association to protect the coastline. She fought to have accessible transportation services for local senior citizens, to have a mobile van to provide Metro tickets sold in local areas, to require builders in the low areas have valid permits before putting in foundations that would ruin the costal water plane. When the battle for a new South Richmond Plan became about she joined forces with another Community Activist, Lorraine Sorge of the Taxpayers Association, and together the two organizations mobilized enough community support to have the plan adopted, thus saving the wet lands and open spaces from rapid over development.Until her death in September 2002, Mary was still engaged in fighting for the community by organizing the residents to protest the plans for a 181 unit housing development without adequate protection for the homeowners living in the low planes of Great Kills coastal area.",2003
2003381,Police Officer John M. Kelly,none the intersection of,"John M. Kelly was born on June 24, 1969 to Margaret Kelly and the late Thomas Kelly. He was the fourth of seven sons. John grew up in the town of Oakwood and graduated from New Dorp High School in 1987.Police Officer John M. Kelly fulfilled his life long ambition when he graduated from the New York City Police Academy in January 1992. Upon graduating he was appointed to the New York City Housing Police Department and assigned to Police Service Area #4, in Manhattan. In April of 1996 he was transferred to The New York City Police Department and assigned to the Staten Island Task Force.Also in April of 1996, he married Police Officer Patricia Duffy who at the time was assigned to 120th Precinct in Staten Island. Their first son Sean was born on August 16, 1997 and their second son, Christopher, was born on October 29, 1999. John enjoyed spending time with his family and taking his son Sean fishing. He enjoyed spending time visiting his mother upstate, where he would fish with his brothers.On July 17, 2000, Police Officer John M. Kelly, while assigned to the Staten Island Auto Larceny Unit, was attempting to apprehend a suspect on a motorcycle, which he believed to have been stolen, when his car careened into a telephone pole. Police Officer Kelly later succumbed to his injuries at St. Vincent’s Hospital.",2003
2003382,Big Brothers and Big Sisters,30th Street between 2nd Avenue,"Big Brothers and Big Sisters of New York City (BBBSNYC) was founded in 1904, by Ernest Coulter, as the first formalized mentoring program in the United States. BBBSNYC provides youth, ranging in age from 7 to 18 years old, with one-on-one volunteers. These mentors have a dramatic, positive affect on their “littles’” lives, particularly in regards to school, self-esteem, relationships with family and friends, and resistance to drug use and crime. On average, these relationships last three years, while their friendships often last a lifetime.The agency’s success is due to its commitment to its on-on-one mentoring programs that provide long-term caring and support under the supervision and guidance of a professional social worker.While the Traditional Mentoring Program continues, reaching more boys and girls than ever, Coulter’s dedication to creative, new solutions also thrives here. BBBSNYC offers unique programs, tailored to fit the needs of diverse groups-corporate employees, single parents, or new Americans. And BBBSNYC’s Center for Training enables it to function as a “teaching hospital”, performing research and propagating the best practices of youth mentoring to nonprofits far and wide. BBSNYC is considered the forerunner for mentoring programs nationwide and today there are 450 Big Brother Big Sisters Agencies and an additional 50,000 organizations that mentor. These programs have proven to positively impact the futures of at-risk boys and girls.",2003
2003384,P.O. Thomas Schimenti Jr.,none the intersection of,"Thomas Schimenti, Jr. was born on October 19, 1943 to Thomas Sr. and Angelina Schimenti. He grew up on Staten Island where he attended Saint Sylvester Grammar School and New Dorp High School. Tom also attended McKee Evening classes and became a journeyman plumber while attending high school during the day.Upon his graduation from high school in 1963, Tom immediately went to work as a plumber on the Verazzano Bridge. Also, during this period he began his studies to become a New York City Police Officer. In 1967 Tom graduated from the Police Academy and on July 29, 1967 he married his high school sweetheart Diane Delzotti. The marriage produced two daughters, Sandra and Gina.After returning from his honeymoon Tom began his career as a police officer. He worked at the 6th and 9th Precincts in lower Manhattan and also as a 911 dispatcher in Police Headquarters at 1 Police Plaza. After the 911 tour of duty he decided to become a beat patrolman and was assigned to the Midtown South Precinct. During this period he volunteered much of his free time to mentor young boys at a group home on College Avenue on Staten Island. Each year he accompanied the boys to the Special Olympics and through this association inspired many of the boys to aspire to become police officers.On august 17, 1979, while stationed at Midtown South, Tom Schimenti, Jr. was on foot patrol in Midtown Manhattan when he was notified of a bank robbery in progress nearby. He proceeded to the crime-scene and chased a suspect from a Chemical Bank into the 42nd Street Arcade at Grand Central Station. During the ensuing gunfight, Tom sacrificed his life in the line of duty. The suspect was captured by Tom’s fellow officers and later drowned during an escape attempt. In a final tribute to the popularity of Tom Schimento, Jr. his funeral and wake were attended by thousands of mourners.",2003
2003385,Deacon Ross Calimano,none the intersection of,"Ross Calimano was born in Manhattan , on January 8, 1932, to Margaret and Rosario Calimano. The family also included two brothers, Sam and Charles, and two sisters, Rose and Ann. Ross attended Seward Park High School in lower Manhattan. He moved to New Dorp Beach in the late 1940’s and immediately associated himself with the Our Lady of Lourdes R.C. chapel, a mission of Our Lady Queen of Peace R.C. church New Dorp, assisting the late sexton Henry Cale.Throughout the years, he became closely identified with the church. He was ordained a deacon in May 1980 and later became the only deacon in the Catholic Archdiocese of New York to serve as spiritual leader of a chapel. The distinction earned him the affectionate title of “the Pope of New Dorp Beach.Deacon Calimano was involved in the Holy Name Society and the Manresa Council, Knights of Columbus, New Dorp. He also chaired the building committee that oversaw construction of the Manresa Council Building. He held a number of positions with the Knight of Columbus, including president of the Manresa Columbian Club; Staten Island conference chairman; delegate to the Supreme Convention Basilica in Washington, D.C.; chief counsel of the Columbian Squires; district deputy, and grand knight.He was also instrumental in raising funds for the Sister Disciples of the Divine Master convent in Meiers Corners. Deacon Calimano began working as a bookbinder with a Manhattan printing firm in the late 1940’s. In 1956, he attended the Society of St. Paul seminary. He served in the Marines as a lance corporal during the Korean War. After his discharge in 1954, he resumed his position as a bookbinder, and later worked for the U.S. Postal Service in Manhattan before taking a job with the assay office of the United states Mint in Manhattan. He later worked for the Mint’s West Point, N.Y. office while maintaining his house in New Dorp Beach. He retired in 1985Deacon Ross Calimano died on March 3, 2003. He was survived by a brother, Sam and his two sisters Rose Russo, and Ann Pecoraro.",2003
20043,Marine Lance Corporal William Wayne White Street,Pilling Street between Broadway and Evergreen Avenue,,2004
20045,John J. DeMartini Way,none the intersection of 74th Street and 6th Avenue,,2004
200411,"Giuseppe ""Joe"" Papandrea Way",none the intersection of 86th Street and 15th Avenue,"Born in Calabria, Italy, Guiseppe Papandrea is the oldest of five children born to Mary and Rocco Papandrea.  He immigrated to the United States in 1958, where he and his father helped earn money so that the rest of the family could join them.  Joe went on to work at Gino’s Restaurant and Pizzeria where he met and married Loretta Reed in 1966.  Together, they raised six children in Bay Ridge and celebrated the marriages of three of them, and celebrated the birth of three grandchildren.  In the summer of 1998, he was diagnosed with Leukemia, which he fought and put the cancer into remission by Christmas of that year.  Joe was tragically killed by a hit and run driver on January 29, 2002.  This street, which will pay tribute to his life, will further serve as a reminder of the ills associated with leaving the scene of an accident and the destruction of a family.",2004
