coname,location_search,location_complete,borough,reason,year,index
Chief Charles A. Joshua Plaza,"Fulton Street, Ralph Avenue and MacDougal Street","the intersection of Fulton Street, Ralph Avenue and MacDougal Street",,"Chief Charles Adebowale Joshua was born in New York City on July 24, 1924, the son of Samuel and Ethel Joshua.          After graduation from Haaren High School in New York City and the POH Institute, he began work as a machine operator and supervisor with the Independent Container Company (1942-56).  After working for a year (1956-57) as a postal clerk with the United States Postal Service, he began a 13 year career with the United States Army.  He also attended the United States Army Adjutant General School, majoring in Business Administration.  In 1974, Chief Joshua entered the Social Work Studies Program at Adelphi University and, in 1981, he began the Off-Campus B.S./M.B.A. Program through California Western University.  
Since 1973, Chief Joshua was employed as Executive Director of the Central Brooklyn Coordinating Council, Inc.   At the Council, he worked to stimulate cooperation among community agencies, providing the Council with professional leadership.  Chief Joshua was involved with many community groups including the Bedford Stuyvesant/Crown Heights HIV Care Committee, the Bedford Stuyvesant Youth AIDS Prevention Committee, the Board of Directors of the Literacy Assistance Center, the National Association of Black Social Workers, the Board of Directors of the John The Baptist Community Center, the New York City Task Force on Adolescent Pregnancy and many others.  He received many awards for his community service including recognition from the Brooklyn Borough President, from several Mayors and then-Governor Cuomo.
He was survived by his wife Anita, daughter and son-in-law Sharon and Kenneth Robinson, two grandchildren Kenneth DeShawne and Sharkena Robinson, one great-grandchild Channell Robinson and two sisters Mary L. Joshua-Johnson and Chief Sybil A. McCarthy.
",2001,11
P.O. Joseph Garcia Place,Clinton Avenue and Prospect Avenue ,Clinton Avenue between Prospect Avenue and Henderson Avenue,,"Joseph Robert Garcia was born on August 25, 1940 at St. Vincent’s Hospital on Staten Island.  He graduated from St. Peter’s Elementary School and from St. Peter’s Boys High School and attended Staten Island Community College.  He worked for Proctor and Gamble for two years and then applied to the Police Academy.  Joseph Garcia was drafted into and served in the United States Army as a Military Policeman in Korea.  After his discharge, Joseph Garcia joined the New York City Police Department.  He married Michele McQuillan from the New Dorp section of Staten Island on October 5, 1968.        
Joseph Garcia died in the line of duty on January 20, 1975 as a result of wounds received while in pursuit of two robbery suspects.  He is survived by his wife Michele, two sisters and a brother.  On October 18, 1980, the Police Athletic League facility located at 392-398 Jersey Street on Staten Island was dedicated in his name.  
",2001,12
Rev. William E. Gardner Place,31st Avenue and 100th Street ,31st Avenue between 100th Street and 101st Street,,"The following biographical material was provided by the Gardner family.
William E. Gardner, Sr. was born to Moses and Carrie Gardner, on February 26, 1907, in New Smyrna, Florida. He was baptized at an early age into the fellowship of the Elizabeth Baptist Church in Arcadia, Florida. Mr. Gardner received his elementary education in the public schools of Arcadia and later graduated from Morehouse Academy in 1927. In June 1931, he was graduated from Morehouse College, with an A.B. degree, where he had an outstanding record as both an athlete and a scholar. In 1949, Mr. Gardner received a BD degree from Virginia University and in 1965 he was awarded a Doctor of Divinity degree from Virginia Union University.  Mr. Gardner also studied at Drew University, Columbia University’s Teachers College and Union Theological Seminary.  
In 1936 he married Bessie Faust and they had two children Dr. William E Gardner 2nd, and Zenobia Gardner Earl.  During the years 1942 to 1945 Reverend Gardner served in the United States Army as a chaplain, attaining the rank of Captain.
After completing college, Reverend Gardner was a High School Principal for five years in several cities in Florida. He was also the Minister of First Baptist Church, Arcadia, Florida, Harmony Baptist Church, Lakeland, Florida and First Baptist Church in Williamsburg, Virginia.  In 1950 he assumed the pastorate of First Baptist Church, East Elmhurst, New York.  During his tenure as pastor of First Baptist the membership grew from less than 200 to over 2,200 members. A beautiful new church costing more than half a million dollars was built.
Reverend Gardner served his church and his community in many capacities during his lifetime. He was a past president of the Baptist Ministers Conference of Greater New York and Vicinity, a member of the Advisory Committee of the local N.A.A.C.P., Chairman of the Board of Directors of the Baptist Educational Center of Brooklyn and Long Island, and he was the New York representative on the Ministerial Benefit Board of the National Baptist Convention U.S.A., Inc.  Also among Reverend Gardner’s accomplishments was his selection as “Distinguished Institute Leader and Preacher” at Virginia Union University and Bishop College and his selection in 1973 as Alumni of the Year by Virginia Union University.  Reverend Gardner served as a member of the 250th Anniversary Committee of Colonial Williamsburg, Virginia and published several articles on the Negro in Colonial times.
Reverend Doctor William E. Gardner, Sr. died in June 1974.  He was survived by his wife, Mrs. Bessie F. Gardner; his son and daughter, and two grandchildren. In recognition of his many years of devoted service to his church and to the community of Queens, it is fitting that 31st Avenue, between 100th and 101st Streets in East Elmhurst, the site of his beloved First Baptist Church, be named “Rev. William E. Gardner Place” in his honor.
",2001,13
Rev. Frederick Sutter and Rev. Carl Sutter Corner,Beach Street and St. Paul's Avenue,Beach Street and St. Paul's Avenue,,"Reverend Frederic Sutter and Reverend Carl Sutter were a father and son team that helped to guide the fortunes of the Trinity Lutheran Church at the Stapleton community of Staten Island for more than 71 years.
Reverend Frederic Sutter, one of the first graduates of Wagner College (Rochester, NY), became pastor of Trinity Lutheran Church in 1907. Shortly after his arrival, the congregation decided that a new church was needed. The responsibility of building the new church fell to Reverend Sutter. He guided the project into construction in 1913 and in 1914, the present edifice, an imposing Gothic structure of yellow brick located on Beach Street, was dedicated. Trinity Lutheran Church grew under Reverend Sutter’s leadership and by 1929 was believed to have 3,000 baptized members and 1100 communing members and probably had the largest Protestant membership on Staten Island at that time. 
Near the end of World War I, Reverend Sutter’s alma mater, Wagner College in Rochester, New York, reached out to him for help finding a new location for the school. Through his efforts, Wagner College relocated to Grymes Hill on Staten Island. Reverend Frederic Sutter was succeeded as pastor at Trinity Lutheran Church in 1964 by his son, Reverend Carl Sutter, who had served under him for more than three decades.
Rev. Carl Sutter, known as “Pastor Carl”, was born in Hudson, New York and was brought to Staten Island, at seven months of age, when his father accepted the pastorate at Trinity Lutheran Church. He attended Public Schools 14 and 15 in Tompkinsville and Wagner Preparatory School. In 1929 he received a Bachelor’s degree in liberal arts from Wagner College. Carl Sutter then took a job on Wall Street while continuing his education at New York University Graduate School. After the stock market crashed later that year, Carl Sutter decided to leave the business world and follow in his father’s footsteps in the ministry. He enrolled at Princeton University and, a year later, transferred to his father’s alma mater, Lutheran Theological Seminary in Philadelphia. Soon after his ordination in 1933 he returned to Staten Island to join his father at Trinity Lutheran Church. He was to spend his entire career as a clergyman there. In 1936, Dr. Sutter married his childhood sweetheart, the former Eleanor Koehler of Stapleton and moved to Emerson Hill.
Rev. Sutter was considered by many as a pioneer in improving community relations on Staten Island. He helped organize the Booker T. Washington Center during World War II to look after the needs of some 7000 African-American troops stationed in Stapleton who were denied access to the local United Service Organization (USO). Also during the War, Rev. Sutter, who was fluent in German, served as the chaplain for German prisoners of war at the former Halloran Hospital. He often played a key role in the Staten Island Interfaith relations, having served as chairman of the building committee for The nondenominational Bethel Community Church in Tompkinsville. Also, for several years, he orchestrated a series of Holy Week Services that brought together members of Protestant and Catholic churches in the Stapleton/Tompkinsville community.  Rev. Sutter served as president of the Staten Island Council of Churches and held a key position in what is now the Metropolitan Synod of the Lutheran Church of America. During the 1960’s, Rev. Sutter oversaw the construction of the $1,000,000 Trinity Lutheran School.  He delayed his retirement seven years, until 1978, to ensure that the debt on the school was paid in full.
Reverend Carl Sutter died in October 1998 at the age of 91. He was survived by two sons, Frederic and Carl Richard, three grandchildren and one great-granddaughter. Staten Island County Clerk Mario J. Esposito, who served on the Wagner College Board of Trustees with Reverend Carl Sutter for 12 years, said in an interview that he considered Reverend Frederic Sutter and Reverend Carl Sutter the “backbone” of the College.  “Both were friendly, community-minded.  They set the standards and the goals. They were men of integrity.”  In recognition of their contributions to Wagner College, Trinity Lutheran Church, the Borough of Staten Island and the City of New York, it is fitting that the northeast corner of Beach Street and St. Paul‘s Avenue, the site of Trinity Lutheran Church, be named “Rev. Frederic and Rev. Carl Sutter Corner” in their honor.
",2001,14
Sylvia Simowitz Way,89th Road and 130th Street,89th Road between 130th Street and 132nd Street,,"Sylvia Simowitz was born in 1919.  Throughout her life she gave unsparingly of her time and energy to the various community organizations with which she was associated.  These community organizations included: Therapeutic Communities of America, Queensboro Council of Social Welfare, Association of Voluntary Agencies on Narcotic Treatment, Queens Transitional Services and the Queensboro President’s Council on Substance and Alcohol Abuse.  In 1984, at the New York State Fair in Syracuse, New York, Sylvia Simowitz was cited as one of the Empire State Women of the Year for her leadership in the development of drug abuse treatment services.
        In 1966, Sylvia Simowitz joined Samaritan Village as a volunteer assistant to its founder, Father Damian Pitcaithly.  She was involved in all aspects of Samaritan Village from improving the management of the kitchen, to counseling clients’ family members, to representing Samaritan Village before state and federal agencies.  After holding several administrative positions at Samartian Village, she was named First Executive Vice-President.  She provided 32 years of inspiring leadership throughout the Samaritan Village organization on its Board of Directors as it grew to a network of 13 locations providing services to 1,500 men and women.
On October 8, 1998, following the death of Sylvia Simowitz, Samaritan Village dedicated its flagship facility located at 130-15 89th Road in Richmond Hill, Queens in her memory.
She volunteered in Beth Israel Hospital North, Mary Manning Walsh Nursing Home and New York Hospital and was a long-time member of Hadassah.
The Sewarol Park High School Alumni Association honored Sylvia Simowitz for her lifetime of achievements.
",2001,15
John Cifichiello Way,Mace Avenue and Bronxwood Avenue ,Mace Avenue from Bronxwood Avenue to Williamsbridge Road,,"John Cifichiello, the son of Italian immigrants Vito and Rosa Cifichiello, was born at home in a New York City Greenwich Village apartment on August 24, 1906. At a young age his family, which grew to four boys and four girls, moved to the Fordham section of The Bronx where the family prospered and eventually bought their own home on Crotona Avenue. John worked in the printing trade and married Caroline Ciani, with whom he raised a son John and a daughter Carolyn.  During World War II, he served in the United States Navy, in Ireland and England, and upon his discharge began a career with the United States Postal Service.
After the war John Cifichiello was a member, and later Commander, of the Catholic War Veterans, escorting veterans to Mass each Sunday at the Kingsbridge VA  Hospital.  He was also active in Mt. Carmel Church’s Holy Name Society and the St. Vincent DePaul Society of St. Lucy’s Church and was a past president of the St. Lucy’s Church Senior Citizens Association.  Mr. Cifichiello also served as a member of Community Board #11, serving as the Chair of the Parks Committee for many years.  He was a long-term member of the Red Cross, participating and organizing numerous blood drives for St. Lucy’s Church, and was also a past member of the Catholic Guild for the Blind.  Mr. Cifichiello served with the Pelham Parkway Little League for over twenty years, first as a coach and then as President. Upon retiring from the Post Office in 1975, he began as a volunteer at the New York Botanical Gardens where he continued to serve until his death.  He was proud to always march in the annual Bronx Columbus Day Parade.
John Cifichiello passed away on October 19, 2000.  He was survived by a son, John, a daughter, Carolyn; two brothers, Neal and Fred; a sister Josephine Ardizzone, and six grandchildren. In recognition of his service to The Bronx community it is fitting that Mace Avenue, between Williamsbridge Road and Bronxwood Avenue, where he lived for many years, be named “John Cifichiello Way”.
",2001,16
Georgina Soccodato Way,Morris Park Avenue,Morris Park Avenue from White Plains Road to Hunt Avenue,,"Georgina Soccodato, a native New Yorker, was born on July 18, 1946. She was educated in the City’s public schools and graduated from the High School of Fashion Industry in Manhattan. Mrs. Soccodato attended New York University where she earned a para-professional certificate in education, and later worked with elementary school children in the Hunts Point district. She loved the Morris Park area of The Bronx and immersed herself in that community’s activities when she moved there in 1976.
After opening a clothing store in Morris Park, Ms. Soccodato became vice-president of the Morris Park Business Association, coordinator of the Morris Park Civilian Patrol and served for seventeen years as the coordinator of The Bronx Columbus Day Parade. She also became Executive Director of the Morris Park Local Development Corporation, which works to maintain the viability and stability of the area’s commercial strip. This organization also sponsors street fairs, youth soccer programs, youth language classes, seasonal street activities and senior recreational and educational projects.
Ms. Soccodato also served as the chairwoman of the Jacobi Medical Center Advisory Board, was a member of the Community Advisory Board of the Albert Einstein College of Medicine and the Jack D. Weiler Hospital, Technical Advisor and Board Member of the Eastchester Road, Westchester Square, Throggs Neck, City Island, and the Morris Park/Williamsbridge Business Associations, Director of the Morris Park Senior Center, and Political Action/Publicity Chairperson for the Northeast Bronx Coalition. She received many honors from elected officials, agencies and civic organizations including Mayor Koch, Bronx Borough Presidents Simon and Ferrer, former City Council President Stein, the New York City Department of Business Services, the Bronx Neighborhood Conference, Children Are Precious, the Morris Park Merchants Association, the Bronx Municipal Hospital Center, and the Select Women’s Assistance Network
Georgina Scoddatto passed away on April 19, 2000. She was survived by two brothers, Ron and Richard Kunick, and a sister Darlene Paruru. In recognition of her many years of devoted community service, it is only fitting that Morris Park Avenue, between White Plains Road and Hunt Avenue, the site of the Morris Park Local Development Corporation, be named “Georgina Soccodato Way” in her honor.
",2001,17
Rev. David M. Cory Place,Avenue T and East 14th Street,Avenue T between East 14th Street and East 15th Street,,"Rev. David M. Cory was born on February 10, 1903 in Manhattan.  He graduated form Columbia University in 1923 and from the New College of Edinburgh, Scotland in 1926.  He received a Masters Degree from Columbia University and a doctorate in theology form Union Theological Seminary in 1931.
        At his retirement in 1990 form the Homecrest Presbyterian Church at Avenue T and East 15th Street in Sheepshead Bay, Brooklyn after fair decades of service, Dr. Cory was the oldest active Presbyterian pastor in the United States.  While serving at Homecrest Church, he also served as pastor of the Beverly Presbyterian Church at Beverly Road and East 8th Street in Flatbush, Brooklyn.  He also served for 29 years as pastor of the Cuyler Presbyterian Church at 360 Pacific Street in Boerum Hill, Brooklyn.
        As a young man, he was beaten while accompanying workers passing out union literature.  That beating caused the permanent impairment of the sight in his left eye.  In 1931, he was defeated as the Socialist Party candidate for the State Assembly.  He also ran for Borough President and Congress.
        In the 1930’s, Mohawk Indians who lived on a reservation near Montreal, Canada were brought to New York City to be ironworkers for the construction of the Triborough Bridge. Many lived in Brooklyn to be close to the ironworker’s union headquarters and attended Cuyler Presbyterian Church on Sundays.  Dr. Cory learned to speak their Monhawk-Oneida language and helped to prepare an Indian hymn.
For many years, Rev. Cory was President of the Iceberg Athletic Club, whose members annually participate in mid-winter swims in the Atlantic Ocean.  He also painted landscapes and read widely about history.
        Dr. Cory was survived by his wife of 40 years, Elsie, and his sons Daniel, David, John, and his daughter Mina.
        The street to be named is outside of the Homecrest Presbyterian Church.
",2001,18
Monsignor Dorney Way,Richmond Terrace and Wall Street,Richmond Terrace between Wall Street and St. Peter's Place,,"Monsignor James J. Dorney was born on July 12, 1932.  He graduated from St. John’s Elementary School in The Bronx in 1946, Cathedral College Prep School in Manhattan in 1952, and both St. Joseph’s Seminary and Catholic University in 1958.  He was ordained a Roman Catholic priest on May 31, 1958.
        Following completion of his post-graduate studies at Catholic University in Ponce, Puerto Rico, Monsignor Dorney served from 1958 to 1965 as an Associate Pastor at Our Savior Church in The Bronx.  He then served, from 1965 to 1966, as an Associate Pastor at St. Agnes Church in Manhattan.  From June 1966 to July 1974, Monsignor Dorney was an Associate Pastor at St. Elizabeth’s Church in the Washington Heights section of Manhattan.  From July 1974 to September 1976 he was an Associate Pastor at St. Paul’s Church in Congers, New York.
        Monsignor Dorney began a quarter century of continuous service to Staten Island Catholics with his designation as Associate Pastor of Saint Margaret Mary’s Church where he served from September 1976 to September 1983.  From October 1983 to July 1986 he served as Administrator, and since July 1986 as Pastor, of St. Peter’s Church.
        Monsignor Dorney also serves as a Chaplain with the New York City Police Department and has been a Command Chaplain with the United States Coast Guard since July 1996.
        Now 69 years of age, he continues to serve the Roman Catholics of Staten Island, the Police Department and the Coast Guard.
",2001,19
Nick Bruno Way,Maple Parkway and Walloon Street,Maple Parkway between Walloon Street and Netherlands Avenue,,"Nick Bruno was born on January 7, 1940 in the Mariners Harbor section of Staten Island.  He graduated from Public School 44, where he excelled in basketball, and, in 1957, from Port Richmond High School where he was both a baseball and a basketball star.  In 1958, while playing on the same baseball team as a young Joe Torre, Nick Bruno won the Lou Gehrig Award.
        Nick Bruno went on to attend Iowa State University on a basketball scholarship and after his 1961 graduation, pursued post-graduate studies at Iowa State University but left to play minor league baseball in the San Francisco Giants’ farm system.
        In September 1963 he returned to Public School 44 where he would teach for 32 years.  He ran after school sports programs for the community’s young people for many years at Public School 44.  He retired in June 1995 and died on May 8, 2000.  In recognition of both his many years of service to the youth of Staten Island and his athletic prowess, Nick Bruno was elected to the Staten Island Hall of Fame.
",2001,20
The Greater Bright Light Place,Sutter Avenue and Hemlock Street ,Sutter Avenue between Hemlock Street and Crescent Street,,"The Greater Bright Light Baptist Church was organized in 1974 and, since 1990, it has been located at 1320 Sutter Avenue in Brooklyn.  Providing outreach to the community’s children, the infirm, the aged and the homeless, The Greater Bright Light Baptist Church has implemented programs such as an Early Learning Center and an After School Program for children.  In an effort to feed those in the community who are unable to provide for themselves, the Church also operates a Food Program.  
        In addition, The Greater Bright Light Baptist Church operates a Home Care Program for people with ambulatory limitations, a Homeless Shelter Program, Senior Programs and various other community outreach programs.
        Under the leadership of Reverend H. Devore Chapman, The Greater Bright Light Baptist Church continues to play a pivotal role in the life of the community.
",2001,21
